,Song,Artist,Billboard Peak,Track_URI,Explicit,Album Name,Release Date,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Key,Mode,Time Signature,Duration(ms)
74,You Broke Me First.,Tate McRae,16,spotify:track:45bE4HXI0AwGZXfZtMp8JR,False,you broke me first,2020-04-17,89,0.785,0.667,0.373,0.0,0.0906,-9.389,0.05,0.0823,124.148,E,Major,4,02:49
75,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,1,spotify:track:1xQ6trAsedVPCdbtDAmk0c,True,Savage Love (Laxed - Siren Beat),2020-06-11,85,0.234,0.767,0.481,0.0,0.269,-8.52,0.0803,0.761,150.076,C,Minor,4,02:51
76,Shallow,Lady Gaga & Bradley Cooper,59,spotify:track:4cdfzw5XZc85qVz6GZMC9O,False,Trend and Viral Vol 9,2020-04-24,26,0.621,0.605,0.217,3.75e-06,0.0924,-13.008,0.0314,0.169,95.884,G,Major,4,03:38
77,Dreams,Fleetwood Mac,10,spotify:track:0ofHAoxe9vBkTCp2UQIavz,False,Rumours (Super Deluxe),1977-02-04,85,0.0644,0.828,0.492,0.00428,0.128,-9.744,0.0276,0.789,120.151,C,Major,4,04:17
78,Back In Blood,Pooh Shiesty Featuring Lil Durk,29,spotify:track:7JuHVG3qQKQKxC4doneXVW,True,Back In Blood (feat. Lil Durk),2020-11-06,82,0.151,0.759,0.538,0.0,0.126,-8.256,0.384,0.831,146.933,G♯/A♭,Minor,4,03:04
79,I Did It,"DJ Khaled Featuring Post Malone, Megan Thee Stallion, Lil Baby & DaBaby",33,spotify:track:20GrahbI4AzAOWxpYfDKkf,True,KHALED KHALED,2021-04-30,83,0.00196,0.757,0.721,0.0,0.647,-2.906,0.0691,0.364,124.036,E,Minor,4,02:45
80,On Me,Lil Baby,47,spotify:track:4Iedi94TIaB2GGb1nMB68v,True,On Me,2020-12-04,83,0.00327,0.856,0.564,0.0,0.134,-6.295,0.392,0.483,77.972,F♯/G♭,Minor,4,02:15
81,Baby Shark,Pinkfong,38,spotify:track:5ygDXis42ncn6kYG14lEVG,False,Pinkfong Animal Songs,2017-07-27,76,0.259,0.829,0.886,0.0,0.0559,-1.746,0.112,0.777,115.056,G♯/A♭,Major,4,01:20
82,Batom de Cereja,Israel & Rodolffo,57,spotify:track:2MZQAvsA7aZDssppBLRxYp,False,"Aqui e Agora, Vol.1 (Ao Vivo)",2021-01-29,88,0.556,0.606,0.908,0.0,0.19,-6.201,0.0565,0.798,171.966,F♯/G♭,Minor,4,02:20
83,Believer,Imagine Dragons,70,spotify:track:0pqnGHJpmpxLKifKRmU6WP,False,Evolve,2017-06-23,87,0.0622,0.776,0.78,0.0,0.081,-4.374,0.128,0.666,124.949,B,Minor,4,03:24
84,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,4,spotify:track:02kDW379Yfd5PzW5A6vuGt,True,"Lemonade (feat. Gunna, Don Toliver & NAV)",2020-08-14,85,0.256,0.799,0.66,0.0,0.111,-6.153,0.079,0.471,140.04,C♯/D♭,Minor,4,03:15
85,Whoopty,CJ,10,spotify:track:5vGLcdRuSbUhD8ScwsGSdA,True,Whoopty,2020-08-20,86,0.2,0.719,0.648,0.0,0.127,-7.6,0.125,0.66,140.201,D♯/E♭,Minor,4,02:03
86,Forever After All,Luke Combs,4,spotify:track:6IBcOGPsniK3Pso1wHIhew,False,What You See Ain't Always What You Get (Deluxe Edition),2020-10-23,83,0.191,0.487,0.65,0.0,0.0933,-5.195,0.0253,0.456,151.964,C,Major,4,03:52
87,WAP,Cardi B Featuring Megan Thee Stallion,1,spotify:track:4Oun2ylbjFKMPTiaSbbCih,True,WAP (feat. Megan Thee Stallion),2020-08-07,87,0.0194,0.935,0.454,0.0,0.0824,-7.509,0.375,0.357,133.073,C♯/D♭,Major,4,03:07
88,Before You Go,Lewis Capaldi,32,spotify:track:2gMXnyrvIjhVBUZwvLZDMP,False,Divinely Uninspired To A Hellish Extent (Extended Edition),2019-11-22,84,0.604,0.459,0.575,0.0,0.0885,-4.858,0.0573,0.183,111.881,D♯/E♭,Major,4,03:35
89,Circles,Post Malone,49,spotify:track:21jGcNKet2qwijlDFuPiPb,False,Hollywood's Bleeding,2019-09-06,88,0.192,0.695,0.762,0.00244,0.0863,-3.497,0.0395,0.553,120.042,C,Major,4,03:35
90,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,7,spotify:track:0PvFJmanyNQMseIFrU708S,True,Shoot For The Stars Aim For The Moon,2020-07-03,87,0.114,0.823,0.586,0.0,0.193,-6.606,0.2,0.347,125.971,F♯/G♭,Minor,4,03:10
91,Lovely,Billie Eilish & Khalid,70,spotify:track:5FmtMSKUyVnT0M7ApbFnyv,False,Lovely (Billie Eilish & Khalid),2021-04-09,14,0.846,0.395,0.243,3.04e-06,0.0839,-8.648,0.0337,0.117,130.728,F,Minor,3,03:18
92,Let It Go,DJ Khaled Featuring Justin Bieber & 21 Savage,49,spotify:track:1cEhrSF6EylAEqdhUGuNpX,True,KHALED KHALED,2021-04-30,81,0.24,0.877,0.444,0.0,0.169,-7.547,0.172,0.658,129.06,G♯/A♭,Major,4,02:45
93,Dick,StarBoi3 + Doja Cat,94,spotify:track:4WpyCRMKINKijUrviP1WM4,True,Dick (Originally Performed by Starboi3 and Doja Cat) [Instrumental],2021-05-06,9,0.333,0.686,0.212,0.914,0.116,-14.327,0.0845,0.0848,84.447,C,Minor,5,02:52
94,Rasputin,Majestic X Boney M.,95,spotify:track:0b18g3G5spr4ZCkz7Y6Q0Q,False,Rasputin,2021-02-26,87,0.00364,0.758,0.913,6.92e-05,0.193,-2.926,0.113,0.658,128.04,F♯/G♭,Minor,4,03:06
95,Hot Sauce,NCT DREAM,96,spotify:track:6B8MM3PVQtUbZLay7tP7er,False,Hot Sauce - The 1st Album,2021-05-10,77,0.0127,0.769,0.926,0.0,0.285,-1.627,0.0788,0.551,100.034,F♯/G♭,Major,4,03:15
96,Sweater Weather,The Neighbourhood,62,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,False,I Love You.,2013-04-19,89,0.0495,0.612,0.807,0.0177,0.101,-2.81,0.0336,0.398,124.053,B,Major,4,04:00
97,Yoru Ni Kakeru,YOASOBI,16,spotify:track:3ZolvP0M1rqmlbFDhrprbr,False,"Anime Mix, Vol. 1",2021-02-18,16,0.948,0.362,0.397,0.857,0.147,-13.673,0.0367,0.571,129.162,C,Minor,4,04:22
98,Another Love,Tom Odell,99,spotify:track:7otCGmgp9h4CsR2LhwB6gt,True,Long Way Down,2013-09-17,71,0.695,0.445,0.537,1.6e-05,0.0941,-8.532,0.04,0.131,122.764,E,Minor,4,04:04
99,What You Know Bout Love,Pop Smoke,11,spotify:track:1tkg4EHVoqnhR6iFEXb60y,True,Shoot For The Stars Aim For The Moon,2020-07-03,87,0.65,0.709,0.548,1.59e-06,0.133,-8.493,0.353,0.543,83.995,B,Major,4,02:40
100,La Curiosidad,DJ Nelson Presenta Jay Wheeler & Myke Towers,40,spotify:track:4HYDUMY0xSpeBr0AMY9cUz,False,Platonicos,2020-06-12,84,0.269,0.845,0.677,0.000917,0.108,-4.798,0.136,0.68,90.013,N/A,Minor,4,03:39
101,Anyone,Justin Bieber,3,spotify:track:31qCy5ZaophVA81wtlwLc4,False,Anyone,2021-01-01,86,0.181,0.686,0.538,3.13e-06,0.113,-8.026,0.0345,0.584,115.884,D,Major,4,03:10
102,Martin & Gina,Polo G,94,spotify:track:1VLtjHwRWOVJiE5Py7JxoQ,True,THE GOAT,2020-05-15,87,0.345,0.832,0.534,0.0,0.165,-7.813,0.253,0.116,93.924,C♯/D♭,Minor,4,02:12
103,Paradise,Meduza & Dermot Kennedy,30,spotify:track:0Rx0DJI556Ix5gBny6EWmn,True,Soul Searching,2019-08-09,77,0.0828,0.844,0.644,0.0,0.113,-6.273,0.0479,0.591,122.061,N/A,Minor,4,02:49
